title,link,summary,date
Alex Carey for 'injured' Rishabh Pant not a straight swap for Delhi Capitals,https://www.espncricinfo.com/story/alex-carey-for-injured-rishabh-pant-not-a-straight-swap-for-delhi-capitals-1235703,Absence of a back-up Indian wicketkeeper has affected the dynamics of their XI at a crucial time,12-Oct-2020
Queensland hunt innings victory after Michael Neser's maiden hundred,https://www.espncricinfo.com/series/sheffield-shield-2020-21-1233442/queensland-vs-tasmania-2nd-match-1233444/match-report-3,Tasmania face a tough task to save the game on the final day after Neser continued his fine start to the season,12-Oct-2020
Michael Neser and Ashton Agar achieve rare double in the space of an hour,https://www.espncricinfo.com/story/sheffield-shield-2020-21-michael-neser-and-ashton-agar-achieve-rare-sheffield-shield-double-1235686,Neser followed a five-wicket haul with a century while Agar backed up a hundred with a five-wicket bag,12-Oct-2020
Alistair Nicholson steps down as Australian Cricketers Association chief executive,https://www.espncricinfo.com/story/alistair-nicholson-steps-down-as-australian-cricketers-association-chief-executive-1235677,Nicholson's six-year stint included the Newlands ball-tampering scandal and more recently the Covid-19 fallout,11-Oct-2020
Rishabh Pant sidelined from IPL 2020 'for a week' because of hamstring injury,https://www.espncricinfo.com/story/ipl-2020-delhi-capitals-vs-mumbai-indians-rishabh-pant-out-for-a-week-because-of-hamstring-injury-1235665,"'He is going to be resting for a week,' says the Capitals' captain Shreyas Iyer",11-Oct-2020
All-round Mumbai Indians ease their way past Delhi Capitals to the top of the table,https://www.espncricinfo.com/series/ipl-2020-21-1210595/mumbai-indians-vs-delhi-capitals-27th-match-1216529/match-report,Mumbai's bowlers set the stage for the batsmen to clinch the win with an impressive performance,11-Oct-2020
"Haris Rauf, Imad Wasim put Northern in semi-finals",https://www.espncricinfo.com/story/pakistan-national-t20-cup-haris-rauf-and-imad-wasim-put-northern-in-semi-finals-1235641,Southern Punjab slide to fifth loss in six games to sit bottom of the table,11-Oct-2020
Rahul Tewatia and Riyan Parag star as Rajasthan Royals pull off another heist,https://www.espncricinfo.com/series/ipl-2020-21-1210595/sunrisers-hyderabad-vs-rajasthan-royals-26th-match-1216507/match-report,"Sunrisers bossed the game for 36 overs, and then they let it slip away",11-Oct-2020
"Where and when to watch MI vs DC live match at 7.30 PM IST on October 11, 2020",https://www.espncricinfo.com/story/mumbai-indians-vs-delhi-capitals-live-streaming-where-to-watch-mi-vs-dc-ipl-2020-7-30-pm-oct-11-1235585,"How, where and when to watch Mumbai Indians vs Delhi Capitals live match at 7.30 PM IST on October 11, 2020",11-Oct-2020
"Delhi Capitals vs Mumbai Indians, IPL 2020 - Rolling Report",https://www.espncricinfo.com/story/delhi-capitals-vs-mumbai-indians-ipl-2020-rolling-report-1235598,"ESPNcricinfo's updates from the 27th match of IPL 2020, in Abu Dhabi",11-Oct-2020
"Rawalpindi to host Zimbabwe ODIs, Lahore gets T20Is",https://www.espncricinfo.com/story/pakistan-vs-zimbabwe-2020-rawalpindi-to-host-odis-and-lahore-gets-t20is-1235611,The PCB has swapped the venues but the tour dates remain the same,11-Oct-2020
KKR sweat over Sunil Narine and Andre Russell as in-form RCB loom,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-kolkata-knight-riders-28th-match-1216540/match-preview,"Virat Kohli has scores of 100, 84 and 68 in his last three games against the Knight Riders",11-Oct-2020
Rajasthan Royals vs Sunrisers Hyderabad: Rolling Report,https://www.espncricinfo.com/story/rajasthan-royals-vs-sunrisers-hyderabad-ipl-2020-rolling-report-1235541,"ESPNcricinfo's updates from the 26th match of IPL 2020, in Dubai",11-Oct-2020
"Where and when to watch SRH vs RR live match at 3.30 PM IST on October 11, 2020",https://www.espncricinfo.com/story/sunrisers-hyderabad-vs-rajasthan-royals-live-streaming-where-to-watch-srh-vs-rr-ipl-2020-3-30-pm-oct-11-1235582,"How, where and when to watch Sunrisers Hyderabad vs Rajasthan Royals live match at 3.30 PM IST on October 11, 2020",11-Oct-2020
"Sophie Ecclestone, Deandra Dottin, Chamari Atapattu among overseas stars at Women's T20 Challenge",https://www.espncricinfo.com/story/sophie-ecclestone-deandra-dottin-chamari-atapattu-among-overseas-stars-at-womens-t20-challenge-1235590,"Australian players, however, will skip the tournament since it clashes with the Women's BBL",11-Oct-2020
"Ashton Agar, Josh Inglis and Jake Weatherald cash in with centuries",https://www.espncricinfo.com/series/sheffield-shield-2020-21-1233442/south-australia-vs-western-australia-1st-match-1233443/match-report-2,Only one wicket fell while 349 runs were scored on the second day at Karen Rolton Oval,11-Oct-2020
Marnus Labuschagne's Sheffield Shield best puts Queensland in command,https://www.espncricinfo.com/series/sheffield-shield-2020-21-1233442/queensland-vs-tasmania-2nd-match-1233444/match-report-2,Bryce Street and Matt Renshaw also played important hands as Tasmania paid for dropped chances,11-Oct-2020
Alex Hales returns to the Sydney Thunder for BBL,https://www.espncricinfo.com/story/big-bash-2020-21-alex-hales-returns-to-the-sydney-thunder-1235573,Hales was the second-highest run scorer in last year's tournament and will be available for the whole competition,11-Oct-2020
MS Dhoni on CSK's season so far: 'Too many holes in the ship',https://www.espncricinfo.com/story/csk-vs-rcb-ipl-2020-ms-dhoni-on-csk-s-season-so-far-too-many-holes-in-the-ship-1235561,"The captain wants his batsmen to be more positive, particularly through the middle overs",10-Oct-2020
"Sunil Narine reported for suspect action again, placed in 'warning list'",https://www.espncricinfo.com/story/ipl-2020-kxip-vs-kkr-sunil-narine-reported-for-suspect-action-again-placed-in-warning-list-1235556,"The Knight Riders spinner can continue bowling, but another report would lead to suspension",10-Oct-2020
"Chamu Chibhabha named captain, Blessing Muzarabani also in squad for Pakistan tour",https://www.espncricinfo.com/story/pak-vs-zim-chamu-chibhabha-named-zimbabwe-captain-blessing-muzarabani-also-in-squad-for-pakistan-tour-1235552,"Sean Williams is part of the travelling squad only as a player, while Kyle Jarvis failed to make the cut",10-Oct-2020
Kohli's 90* leads Royal Challengers' demolition of Super Kings,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-royal-challengers-bangalore-25th-match-1216525/match-report,The flaws in Dhoni's team were laid bare as they crumbled in chase of 170,10-Oct-2020
Central Punjab lose despite Babar Azam's 86; Awais Zia's 49-ball 92* outshines Shoaib Malik's heroics,https://www.espncricinfo.com/story/national-t20-central-punjab-lose-despite-babar-azam-s-86-awais-zia-s-49-ball-92-outshines-shoaib-malik-s-heroics-1235515,"Sindh chased down 170 against Central Punjab, while Balochistan crushed Khyber Pakhtunkhwa by six wickets",10-Oct-2020
